Name,State,Latitude,Longitude,Status
Mount Lyell,Tasmania,-42.061,145.5855,Care and maintenance
Mount Magnet,Western Australia,-28.0602,117.7834,Operating
Mount Marion,Western Australia,-31.0738,121.4611,Operating
Mount Moss,Queensland,-19.085818,145.84711,Care and maintenance
Mount Newman,Western Australia,-23.355737,119.677787,Operating
Mount Owen,New South Wales,-32.38684,151.099981,Operating
Mount Oxide,Queensland,-19.47865,139.388303,Care and maintenance
Mount Peake,Northern Territory,-21.637,133.286,Developing Mine
Mount Rawdon,Queensland,-25.2713,151.7641,Operating
Mount Thorley,New South Wales,-32.63741,151.108624,Operating
Mount Tom Price,Western Australia,-22.76352,117.771357,Operating
Mount Watson,Queensland,-19.771708,139.888765,Operating
Mount Webber,Western Australia,-21.537,119.289,Operating
Mount Weld,Western Australia,-28.859949,122.547523,Operating
Mountain of Light,South Australia,-30.578933,138.451284,Care and maintenance
Mulga Rock,Western Australia,-29.904345,123.592004,Developing Mine
Munglinup,Western Australia,-33.66352,120.858621,Developing Mine
Murrawombie,New South Wales,-31.2586,146.8719,Operating
Murrin Murrin,Western Australia,-28.7668,121.893,Operating
Myrtle Springs,South Australia,-30.4168,138.2258,Operating
Myuna,New South Wales,-33.060111,151.568738,Operating
Nammuldi,Western Australia,-22.406866,117.395299,Operating
Narrabri,New South Wales,-30.52,149.85,Operating
Nelson Bay River,Tasmania,-41.17,144.74,Care and maintenance
Nevoria,Western Australia,-31.5067,119.5835,Operating
New Acland,Queensland,-27.269628,151.707831,Operating
New Cobar,New South Wales,-31.5161,145.8551,Operating
New Occidental,New South Wales,-31.5403,145.864,Operating
Newstan,New South Wales,-32.975814,151.57689,Care and maintenance
Nicolson's Find,Western Australia,-18.4096,127.3567,Operating
Nifty,Western Australia,-21.654853,121.570871,Care and maintenance
Nolans Bore,Northern Territory,-22.59385,133.238557,Developing Mine
Norseman,Western Australia,-32.1964,121.7941,Developing Mine
North Goonyella,Queensland,-21.64755,147.976615,Care and maintenance
Northcote,Queensland,-17.0058,145.1571,Developing Mine
Northparkes,New South Wales,-32.9135,148.0498,Operating
Norton,Queensland,-24.3218,151.3724,Care and maintenance
Norwich Park,Queensland,-22.615826,148.429355,Care and maintenance
Nova-Bollinger,Western Australia,-31.819886,123.192413,Operating
Nullagine,Western Australia,-21.8784,120.2916,Operating
Nullagine,Western Australia,-22.0928,119.8358,Care and maintenance
Nyngan,New South Wales,-31.612,146.994,Developing Mine
Oaky Creek,Queensland,-23.041584,148.49321,Operating
Odysseus,Western Australia,-27.600285,120.576324,Operating
Olive Downs,Queensland,-22.2091,148.369,Developing Mine
Olympic Dam,South Australia,-30.437444,136.889293,Operating
Orion Downs,Queensland,-24.425,148.361,Operating
Osborne,Queensland,-22.0939,140.5736,Operating
Otter Juan,Western Australia,-31.16898,121.6514,Care and maintenance
Paddy's Flat,Western Australia,-26.6181,118.5022,Operating
Pajingo,Queensland,-20.548,146.4634,Operating
Panton,Western Australia,-17.75153,127.831596,Developing Mine
Paraburdoo,Western Australia,-23.2292,117.579,Operating
Paulsens,Western Australia,-22.5794,116.2426,Care and maintenance
Peak Downs,Queensland,-22.219914,148.173066,Operating
Peculiar Knob,South Australia,-29.586813,135.382648,Care and maintenance
Penny,Western Australia,-28.852443,118.80643,Operating
Penny's Find,Western Australia,-30.53256,121.8745,Care and maintenance
Perseverance,New South Wales,-31.5715,145.8824,Operating
Perth Basin,Western Australia,-29.85581,115.301799,Operating
Pilgangoora (Pilbara Minerals),Western Australia,-21.0723,118.8953,Operating
Pine Dale,New South Wales,-33.297,150.065,Care and maintenance
Plutonic,Western Australia,-25.3171,119.4437,Operating
Poitrel,Queensland,-22.041216,148.234381,Operating
Portia,South Australia,-31.433894,140.451072,Care and maintenance
Premier,Western Australia,-33.391728,116.286509,Operating
Prominent Hill,South Australia,-29.72004,135.5749,Operating
Radio Hill,Western Australia,-20.982542,116.864841,Care and maintenance
Rasp Mine,New South Wales,-31.965517,141.451273,Operating
Ravensthorpe,Western Australia,-33.64212,120.396308,Operating
Ravenswood,Queensland,-20.096942,146.879978,Operating
Ravensworth East,New South Wales,-32.3955,151.0717,Operating
Ravensworth North,New South Wales,-32.44,150.997,Operating
Ravensworth Underground,New South Wales,-32.436562,151.037482,Care and maintenance
Red October,Western Australia,-29.2166,122.4141,Operating
Redbank,Northern Territory,-17.193231,137.743503,Care and maintenance
Renison Bell,Tasmania,-41.7824,145.434,Operating
Ridges,Western Australia,-16.599104,128.273183,Care and maintenance
Ridgeway,New South Wales,-33.4353,148.9759,Care and maintenance
Riley Creek,Tasmania,-41.74475,145.4114,Care and maintenance
Riverina,Western Australia,-29.7519,120.5652,Operating
Rixs Creek,New South Wales,-32.52684,151.129982,Operating
Robe River,Western Australia,-21.747484,116.242201,Operating
Rocklands,Queensland,-20.67809,140.363019,Care and maintenance
Rolleston,Queensland,-24.444059,148.410596,Operating
Roper,Northern Territory,-14.416667,134,Operating
Roper Bar,Northern Territory,-15.223,135.074,Care and maintenance
Roper River,Northern Territory,-14.42532,134.18386,Care and maintenance
Rose of Denmark,Victoria,-37.0821,147.10913,Care and maintenance
Rosebery,Tasmania,-41.7723,145.5431,Operating
Rosemont,Western Australia,-27.8397,122.2753,Operating
Rothsay,Western Australia,-29.2821,116.8659,Operating
Roy Hill,Western Australia,-22.562194,120.057771,Operating
Rumbles,Western Australia,-31.0668,122.1882,Operating
Russell Vale,New South Wales,-34.346849,150.869989,Care and maintenance
Saint Elmo,Queensland,-20.555,141.875,Developing Mine
Sanjiv Ridge,Western Australia,-21.473998,119.664944,Operating
Saraji,Queensland,-22.369379,148.291051,Operating
Savage River,Tasmania,-41.487982,145.204429,Operating
Savannah,Western Australia,-17.347206,128.023493,Operating
Sconi,Queensland,-19.026873,144.954374,Developing Mine
Shine,Western Australia,-28.8484,116.9358,Care and maintenance
Siberia,Western Australia,-30.2111,120.9624,Operating
Silvergrass,Western Australia,-22.183297,117.18516,Operating
Sino Iron,Western Australia,-21.079589,116.147352,Operating
Siviour,South Australia,-33.918009,136.428284,Developing Mine
Sonoma,Queensland,-20.62,147.86,Operating
South Kalgoorlie,Western Australia,-31.0385,121.6148,Operating
South Walker Creek,Queensland,-21.770942,148.442713,Operating
South West,Western Australia,-30.7986,115.5673,Operating
Spargos Reward,Western Australia,-31.2362,121.4687,Operating
Spotted Quoll,Western Australia,-32.47818,119.677803,Operating
Springvale,New South Wales,-33.4006,150.105627,Operating
St Ives,Western Australia,-31.2951,121.6761,Operating
Stawell,Victoria,-37.0589,142.8002,Care and maintenance
Stratford Duralie,New South Wales,-32.11766,151.973597,Operating
Sunrise,New South Wales,-32.756687,147.419586,Developing Mine
Sunrise Dam,Western Australia,-29.0775,122.4245,Operating
Syerston,New South Wales,-32.756687,147.419586,Developing Mine
Tahmoor,New South Wales,-34.2508,150.5795,Operating
Tampia,Western Australia,-32.1624,118.4517,Operating
Tanami - Newmont,Northern Territory,-20.5256,129.9336,Operating
Tank - Atreides,Western Australia,-31.063,122.5802,Operating
Tarcoola,South Australia,-30.697135,134.529982,Care and maintenance
Tarong,Queensland,-26.813543,151.911523,Operating
Tarrawonga,New South Wales,-30.638,150.163,Operating
Tasman,New South Wales,-32.886825,151.540002,Care and maintenance
Telfer,Western Australia,-21.7224,122.2109,Operating
Thalanga,Queensland,-20.3419,145.7699,Operating
Thuddungra,New South Wales,-34.173315,148.049644,Operating
Thunderbird,Western Australia,-17.431715,122.967879,Developing Mine
Thunderbox,Western Australia,-28.192,121.0054,Operating
Tomingley,New South Wales,-32.5848,148.2067,Operating
Tooheys Well,Western Australia,-27.939959,122.368122,Operating
Toongi,New South Wales,-32.445319,148.618178,Developing Mine
Tritton,New South Wales,-31.3956,146.7216,Operating
Tropicana,Western Australia,-29.26,124.55,Operating
Ulan,New South Wales,-32.246863,149.749983,Operating
Uley,South Australia,-34.799274,135.703459,Developing Mine
United Wambo,New South Wales,-32.558422,151.008851,Operating
Venus,Western Australia,-27.815,120.704,Operating
Vivien,Western Australia,-27.9751,120.5695,Operating
Vulcan,Queensland,-22.287,148.188,Developing Mine
Wallaby,Western Australia,-28.8518,122.3055,Operating
Wambo,New South Wales,-32.578151,150.998075,Operating
Warkworth,New South Wales,-32.60701,151.090164,Operating
Warrawoona,Western Australia,-21.33548,119.892303,Developing Mine
Waterloo,Western Australia,-28.14377,120.977997,Care and maintenance
Weipa,Queensland,-12.6637,141.8732,Operating
Werris Creek,New South Wales,-31.40698,150.6395,Operating
West Angelas,Western Australia,-23.18855,118.78829,Operating
Western Range,Western Australia,-23.225,117.561,Developing Mine
Western Turner Syncline,Western Australia,-22.66221,117.586304,Operating
Westralia,Western Australia,-28.7696,122.0679,Operating
Whim Creek,Western Australia,-20.84373,117.830583,Care and maintenance
White Dam,South Australia,-32.0955,140.5793,Operating
White Foil,Western Australia,-30.7738,121.2506,Operating
Widgiemooltha,Western Australia,-31.494669,121.564082,Care and maintenance
Willowdale,Western Australia,-32.845099,116.061824,Operating
Wilpinjong,New South Wales,-32.332,149.885,Operating
Wiluna West,Western Australia,-26.68036,119.9373,Operating
Wim 100,Victoria,-36.95718,141.92579,Developing Mine
Wim 150,Victoria,-36.804284,142.367802,Developing Mine
Windimurra,Western Australia,-28.2993,118.5352,Care and maintenance
Wingellina,Western Australia,-26.03964,128.939301,Developing Mine
Wodgina,Western Australia,-21.190332,118.674092,Care and maintenance
Wolfram Camp,Queensland,-17.084464,144.969389,Care and maintenance
Wonawinta,New South Wales,-32.2181,145.7322,Developing Mine
Wongawilli,New South Wales,-34.474921,150.735664,Care and maintenance
Wonmunna,Western Australia,-23.12290261,119.0497302,Operating
Wonnerup,Western Australia,-33.653782,115.4506,Operating
Woodie Woodie,Western Australia,-21.638771,121.235468,Operating
Woodlawn,New South Wales,-35.061317,149.571681,Care and maintenance
Worsley,Western Australia,-32.929208,116.455911,Operating
Yallourn,Victoria,-38.195064,146.360402,Operating
Yaloginda,Western Australia,-26.7046,118.4365,Operating
Yalyalup,Western Australia,-33.689709,115.472298,Developing Mine
Yandi,Western Australia,-22.734839,119.103329,Operating
Yandicoogina,Western Australia,-22.762345,119.211129,Operating
Yangibana,Western Australia,-23.891614,116.195835,Developing Mine
Yarrabee,Queensland,-23.317678,149.026371,Operating
